A,B,LeadingEuro,LeadingUS,SDR
2005/1/1,0.006641322,98.86426919,100.3042278,0.138777287
2005/2/1,0.002502914,98.84308317,100.3704161,0.149967722
2005/3/1,-0.004066273,98.84807324,100.4152309,0.153615871
2005/4/1,0.004970975,98.87827036,100.4466817,0.144491681
2005/5/1,0.006763172,98.92905481,100.4763125,0.154819132
2005/6/1,0.011352852,98.99483977,100.5140199,0.165110798
2005/7/1,0.001110953,99.07039706,100.5631735,0.187499998
2005/8/1,-0.008950106,99.1523779,100.6241797,0.185938298
2005/9/1,0.006246126,99.24026159,100.6973729,0.176757745
2005/10/1,0.002387378,99.33697688,100.7852124,0.179081023
2005/11/1,0.005401955,99.44713261,100.8886112,0.184854294
2005/12/1,-0.005236366,99.5747654,101.0024109,0.191369687
2006/1/1,-0.002049737,99.72027465,101.1099456,0.188260577
2006/2/1,0.003758634,99.88141896,101.1914449,0.178571681
2006/3/1,-0.003999738,100.0535254,101.2330125,0.184417579
2006/4/1,-0.005523657,100.2282181,101.2376036,0.179990429
2006/5/1,-0.010268775,100.3976403,101.2169188,0.167727144
2006/6/1,0.008164428,100.5584901,101.1862075,0.153471682
2006/7/1,-0.000605897,100.7164806,101.161144,0.155621657
2006/8/1,-0.003043023,100.8801105,101.1540752,0.152743277
2006/9/1,0.004335058,101.0547926,101.1701276,0.149027336
2006/10/1,-0.000771921,101.2367537,101.2022904,0.151947813
2006/11/1,-0.002697218,101.4178536,101.2393948,0.155632287
2006/12/1,-0.005373748,101.5900274,101.2731577,0.145356195
2007/1/1,0.006440142,101.7499356,101.3050907,0.132100457
2007/2/1,-0.004463919,101.8970447,101.3413897,0.139668667
2007/3/1,0.000713079,102.0318457,101.3882197,0.135496163
2007/4/1,-0.008020945,102.1565369,101.4469456,0.129690542
2007/5/1,0.001750206,102.273574,101.5157907,0.117285766
2007/6/1,0.00318608,102.3853433,101.5908759,0.116141208
2007/7/1,-0.011347981,102.4945741,101.6667631,0.118930935
2007/8/1,0.001705021,102.6033931,101.7362367,0.108740013
