Time,Ture,h=1TSE,h=1NTaylor,h=1Taylor,h=1PPPNwe,Randomwalkh=1
2010/11/1,1.89548565,1.891789046,1.89516885,1.894979855,1.899174879,1.898095508907560000 
2010/12/1,1.895159493,1.889955133,1.893043813,1.891969341,1.896372342,1.895485650088030000 
2011/1/1,1.887582277,1.888506218,1.896396877,1.894971686,1.895571063,1.895159492948240000 
2011/2/1,1.884647888,1.879983794,1.887318859,1.88442192,1.888232123,1.887582276786970000 
2011/3/1,1.8819419,1.881695613,1.884286396,1.881675569,1.885254982,1.884647887765540000 
2011/4/1,1.876281872,1.879157752,1.880361628,1.880841769,1.882480999,1.881941900064280000 
2011/5/1,1.871726789,1.872142053,1.873666071,1.872988713,1.876915033,1.876281871659140000 
2011/6/1,1.868386827,1.867809125,1.869048804,1.867437042,1.872419071,1.871726789444640000 
2011/7/1,1.865817381,1.864212159,1.866489591,1.864156833,1.869006579,1.868386827420150000 
2011/8/1,1.857707323,1.861280808,1.863658874,1.861685259,1.866290965,1.865817380604950000 
2011/9/1,1.853606873,1.853662341,1.85484207,1.85236741,1.858527549,1.857707322876810000 
2011/10/1,1.849477911,1.849011899,1.852336671,1.849145417,1.854384146,1.853606872554140000 
2011/11/1,1.846752578,1.844535455,1.848034073,1.846296676,1.850195357,1.849477911408040000 
2011/12/1,1.845079043,1.841526125,1.844645902,1.844500439,1.847265937,1.846752577522090000 
2012/1/1,1.84305443,1.840532642,1.844449494,1.842959944,1.845444049,1.845079042658270000 
2012/2/1,1.840606775,1.839095625,1.844293078,1.839026167,1.843358086,1.843054430280880000 
2012/3/1,1.841840286,1.838859437,1.839304655,1.837589102,1.840933418,1.840606774622040000 
2012/4/1,1.840007003,1.841136223,1.841382994,1.841186364,1.841920771,1.841840286437900000 
2012/5/1,1.841401123,1.839599721,1.839074399,1.839773766,1.840144015,1.840007002539860000 
2012/6/1,1.843369463,1.842428657,1.841175371,1.844207021,1.84135739,1.841401122629470000 
2012/7/1,1.844355684,1.845325939,1.843407925,1.845030926,1.843197964,1.843369463460920000 
2012/8/1,1.846935686,1.845377889,1.84459102,1.846383925,1.844148447,1.844355684286980000 
2012/9/1,1.846785787,1.848531231,1.84682592,1.847560584,1.846643666,1.846935686319060000 
2012/10/1,1.842825349,1.849109924,1.845676022,1.847204791,1.846643374,1.846785787204710000 
2012/11/1,1.839876391,1.843564061,1.84104836,1.842566916,1.843065377,1.842825348869940000 
2012/12/1,1.83896902,1.838383425,1.838712366,1.839626389,1.840299332,1.839876390947620000 
2013/1/1,1.837167144,1.837508441,1.838254358,1.838083012,1.839283532,1.838969019806350000 
2013/2/1,1.838038547,1.834653959,1.837456723,1.836146145,1.837421377,1.837167143953080000 
2013/3/1,1.836506383,1.837162254,1.839052695,1.83690433,1.83808597,1.838038546748780000 
2013/4/1,1.83211202,1.83534532,1.837004495,1.835609044,1.836622772,1.836506382745570000 
2013/5/1,1.824195159,1.831868222,1.833077533,1.829075676,1.83249642,1.832112020296970000 
2013/6/1,1.819825248,1.822098971,1.823669274,1.816252462,1.825046946,1.824195158692710000 
2013/7/1,1.819982428,1.817207869,1.819187469,1.810366377,1.820658693,1.819825248079550000 
2013/8/1,1.819822596,1.816344959,1.819804708,1.814987549,1.820387057,1.819982428171790000 
2013/9/1,1.817779114,1.816855737,1.819833724,1.816461964,1.819935972,1.819822596282190000 
2013/10/1,1.814896744,1.815639928,1.81801898,1.815127629,1.817936437,1.817779114200470000 
2013/11/1,1.814437216,1.814156934,1.813516422,1.810155183,1.815219092,1.814896743681400000 
2013/12/1,1.811104475,1.813017124,1.813013041,1.810195454,1.814666886,1.814437216369160000 
2014/1/1,1.808930498,1.808536119,1.809930592,1.806783021,1.811449466,1.811104475491830000 
2014/2/1,1.810461273,1.806148477,1.809172445,1.80750485,1.809271672,1.808930497929210000 
2014/3/1,1.814320586,1.808525139,1.810887716,1.811121295,1.810538482,1.810461272975340000 
2014/4/1,1.817282631,1.813563377,1.813720508,1.814981311,1.814008948,1.814320586292190000 
2014/5/1,1.818544742,1.818319139,1.816700033,1.81742959,1.816829243,1.817282631125790000 
2014/6/1,1.817486003,1.821209031,1.818329675,1.819407536,1.818205499,1.818544741626230000 
2014/7/1,1.819293569,1.818632001,1.817206752,1.817813969,1.817428252,1.817486003196310000 
2014/8/1,1.818176494,1.821168455,1.819185474,1.820540256,1.819179386,1.819293569421370000 
