Time,Turevalue,h=1TSE,h=1NTaylor,h=1Taylor,h=1PPP,Randomwalkh=1
2010/11/1,-0.311956638,-0.324105361,-0.326917214,-0.355428572,-0.323615425,-0.329146147
2010/12/1,-0.279155608,-0.275173431,-0.308358912,-0.311487757,-0.309830943,-0.311956638
2011/1/1,-0.289655125,-0.278320868,-0.275923247,-0.253999193,-0.280934129,-0.279155608
2011/2/1,-0.311077503,-0.317262044,-0.277172731,-0.232998634,-0.29093745,-0.289655125
2011/3/1,-0.336413229,-0.340944866,-0.308044153,-0.290921744,-0.309765875,-0.311077503
2011/4/1,-0.367540958,-0.361322808,-0.339632208,-0.349722289,-0.333179443,-0.336413229
2011/5/1,-0.361069818,-0.36699775,-0.36741065,-0.384010915,-0.363404033,-0.367540958
2011/6/1,-0.363837865,-0.357530594,-0.357273751,-0.363193712,-0.359365374,-0.361069818
2011/7/1,-0.355173818,-0.351855032,-0.364518031,-0.371589766,-0.363175625,-0.363837865
2011/8/1,-0.360692082,-0.35754461,-0.343886583,-0.341771442,-0.355846998,-0.355173818
2011/9/1,-0.31990722,-0.332232058,-0.359016241,-0.359484554,-0.360642213,-0.360692082
2011/10/1,-0.31527292,-0.301715488,-0.323594393,-0.310547519,-0.322906773,-0.31990722
2011/11/1,-0.304224042,-0.305170408,-0.314333791,-0.306341886,-0.317521779,-0.31527292
2011/12/1,-0.276043174,-0.291961133,-0.299845756,-0.28478982,-0.306304044,-0.304224042
2012/1/1,-0.255019173,-0.241229768,-0.27436935,-0.273314118,-0.278825041,-0.276043174
2012/2/1,-0.279455469,-0.287042896,-0.242042857,-0.23578486,-0.258281238,-0.255019173
2012/3/1,-0.277707491,-0.2832631,-0.281720239,-0.298386525,-0.279378469,-0.279455469
2012/4/1,-0.274728803,-0.271265066,-0.284564531,-0.298374393,-0.277142375,-0.277707491
2012/5/1,-0.245993225,-0.2271753,-0.279525549,-0.283066873,-0.274428696,-0.274728803
2012/6/1,-0.225244201,-0.232379179,-0.249467104,-0.233282304,-0.248341027,-0.245993225
2012/7/1,-0.206075074,-0.198194734,-0.227305685,-0.194860727,-0.228311624,-0.225244201
2012/8/1,-0.215107873,-0.222481207,-0.207167915,-0.171119429,-0.209268599,-0.206075074
2012/9/1,-0.2512022,-0.244660777,-0.217469446,-0.186334173,-0.215907595,-0.215107873
2012/10/1,-0.260375666,-0.265693851,-0.255363646,-0.242995111,-0.248522714,-0.2512022
