A,B,leading indicator US,leading indicator China,SDR RMB
2005/11/1,-0.000219019,100.8886112,100.1735534,11.5371
2005/12/1,-9.40E-05,101.0024109,100.1966328,11.558
2006/1/1,-6.99E-05,101.1099456,100.2152537,11.6716
2006/2/1,-2.11E-05,101.1914449,100.2418127,11.5559
2006/3/1,-4.05E-05,101.2330125,100.2602516,11.5628
2006/4/1,0.000199858,101.2376036,100.2731664,11.6323
2006/5/1,4.02E-05,101.2169188,100.2834545,11.9317
2006/6/1,-4.26E-05,101.1862075,100.2960618,11.8339
2006/7/1,-3.05E-05,101.161144,100.3171983,11.8078
2006/8/1,-0.000385969,101.1540752,100.3545573,11.8565
2006/9/1,-0.000162225,101.1701276,100.413181,11.7583
2006/10/1,-0.000162585,101.2022904,100.4952491,11.6452
2006/11/1,-0.000187812,101.2393948,100.5981275,11.7179
2006/12/1,-7.01E-05,101.2731577,100.7144631,11.7975
2007/1/1,-8.32E-05,101.3050907,100.8349657,11.6431
2007/2/1,0.000149574,101.3413897,100.9449959,11.6097
2007/3/1,7.89E-05,101.3882197,101.0537599,11.6669
2007/4/1,-0.002240049,101.4469456,101.163777,11.7416
2007/5/1,-0.000812125,101.5157907,101.2732488,11.6446
2007/6/1,-0.000688302,101.5908759,101.3807955,11.536
2007/7/1,0.002354769,101.6667631,101.4844693,11.59
2007/8/1,-0.001282781,101.7362367,101.5845986,11.5858
2007/9/1,-0.000222351,101.7902481,101.6772147,11.6152
2007/10/1,-0.006311286,101.8185359,101.7525868,11.6889
2007/11/1,-0.002611688,101.812945,101.800235,11.7766
2007/12/1,-0.011607811,101.7727844,101.8087164,11.612
2008/1/1,-0.006427296,101.7128015,101.7673077,11.4802
2008/2/1,-0.007465845,101.649618,101.6648352,11.3605
2008/3/1,-0.00533212,101.589752,101.501693,11.5482
2008/4/1,-0.001010226,101.5180204,101.2725746,11.4568
2008/5/1,-0.006145371,101.4082989,100.9743164,11.3245
2008/6/1,-0.00357415,101.2352614,100.6071543,11.1689
2008/7/1,0.005668936,100.9776679,100.1780561,11.1512
2008/8/1,0.001481848,100.6272182,99.70609232,10.8587
2008/9/1,0.001532221,100.1922623,99.2208929,10.6256
2008/10/1,0.000676262,99.70823636,98.75772497,10.3481
2008/11/1,0.001462876,99.22081889,98.35862166,10.1267
2008/12/1,0.000487777,98.77232724,98.0610669,10.4073
2009/1/1,0.000312519,98.38805023,97.8859472,10.3234
2009/2/1,0.000315737,98.08192814,97.84370748,10.1555
2009/3/1,0.000114898,97.85752187,97.92284227,10.142
2009/4/1,0.000118417,97.71542352,98.09199262,10.1927
2009/5/1,0.000644372,97.65071161,98.322374,10.3783
2009/6/1,0.000245777,97.65660367,98.58280869,10.5568
2009/7/1,0.000203534,97.72247412,98.8455765,10.6027
2009/8/1,0.000118129,97.83713871,99.09455031,10.6597
2009/9/1,0.000142162,97.98772153,99.31952335,10.7748
2009/10/1,0.000141864,98.15489695,99.51286751,10.8529
2009/11/1,0.000137856,98.32048052,99.67083986,10.923
2009/12/1,0.000115206,98.47361638,99.79168055,10.8071
2010/1/1,0.000119103,98.61686027,99.87739736,10.6844
2010/2/1,0.00011068,98.75856801,99.92906372,10.5007
2010/3/1,0.000112888,98.90583541,99.95702209,10.4271
2010/4/1,0.000130021,99.0573855,99.96640972,10.3564
2010/5/1,-8.09E-06,99.20692138,99.96340764,10.1033
2010/6/1,-0.000990987,99.34595431,99.95842709,10.0086
2010/7/1,0.004715696,99.4665572,99.96562886,10.1946
2010/8/1,-0.00215242,99.5610414,99.99373218,10.306
2010/9/1,-0.005769865,99.62275475,100.0461688,10.2949
2010/10/1,-0.001035145,99.64855179,100.1247284,10.4764
2010/11/1,5.20E-05,99.63870485,100.2275033,10.3958
2010/12/1,-0.005197473,99.59920916,100.348249,10.2173
2011/1/1,-0.001379355,99.54646213,100.4792934,10.2129
2011/2/1,-0.000453309,99.49871044,100.6080286,10.2901
2011/3/1,-0.000769043,99.46827667,100.7262815,10.3754
